"id";"construction_site_id";"construction_assigned_id";"created_at";"updated_at"
"517";"963";"964";"2023-06-12 05:12:41";"2023-06-12 05:12:41"
"518";"766";"455";"2023-06-12 05:12:41";"2023-06-12 05:12:41"
"519";"766";"456";"2023-06-12 05:12:41";"2023-06-12 05:12:41"
"520";"766";"625";"2023-06-12 05:12:41";"2023-06-12 05:12:41"
"521";"539";NULL;"2023-06-12 05:12:41";"2023-06-12 05:12:41"
"522";"535";"942";"2023-06-12 05:12:41";"2023-06-12 05:12:41"
"523";"655";"653";"2023-06-12 05:12:41";"2023-06-12 05:12:42"
"524";"655";"654";"2023-06-12 05:12:42";"2023-06-12 05:12:42"
"525";"446";NULL;"2023-06-12 05:12:42";"2023-06-12 05:12:42"
"526";"637";"638";"2023-06-12 05:12:42";"2023-06-12 05:12:42"
"527";"637";"639";"2023-06-12 05:12:42";"2023-06-12 05:12:42"
"528";"920";"921";"2023-06-12 05:12:42";"2023-06-12 05:12:42"
"529";"920";"914";"2023-06-12 05:12:42";"2023-06-12 05:12:42"
"530";"969";"967";"2023-06-12 05:12:42";"2023-06-12 05:12:42"
"531";"955";"608";"2023-06-12 05:12:42";"2023-06-12 05:12:42"
"532";"955";"984";"2023-06-12 05:12:42";"2023-06-12 05:12:42"
"533";"992";"993";"2023-06-12 05:12:42";"2023-06-12 05:12:42"
"534";"992";"1000";"2023-06-12 05:12:42";"2023-06-12 05:12:42"
"535";"661";"404";"2023-06-12 05:12:42";"2023-06-12 05:12:42"
"536";"661";"652";"2023-06-12 05:12:42";"2023-06-12 05:12:42"
"537";"809";"810";"2023-06-12 05:12:42";"2023-06-12 05:12:42"
"538";"809";"574";"2023-06-12 05:12:42";"2023-06-12 05:12:42"
"539";"715";"717";"2023-06-12 05:12:42";"2023-06-12 05:12:42"
"540";"715";"716";"2023-06-12 05:12:42";"2023-06-12 05:12:42"
"541";"669";"667";"2023-06-12 05:12:42";"2023-06-12 05:12:42"
"542";"669";"668";"2023-06-12 05:12:42";"2023-06-12 05:12:42"
"543";"669";"675";"2023-06-12 05:12:42";"2023-06-12 05:12:42"
"544";"669";"892";"2023-06-12 05:12:42";"2023-06-12 05:12:42"
"545";"506";NULL;"2023-06-12 05:12:42";"2023-06-12 05:12:42"
"546";"948";"953";"2023-06-12 05:12:42";"2023-06-12 05:12:42"
"547";"948";"952";"2023-06-12 05:12:42";"2023-06-12 05:12:42"
